State,Month,Total Individuals Vaccinated,TotalSamples,Projected Total Population,testing_rate,vaccination_rate
Andaman and Nicobar Islands,2021-01,2060.0,223137.0,417036,53505.45276666763,0.49396215194851284
Andaman and Nicobar Islands,2021-02,6029.0,268499.0,417036,64382.691182535804,1.4456785505328078
Andaman and Nicobar Islands,2021-03,16798.0,319864.0,417036,76699.37367517433,4.027949625451999
Andaman and Nicobar Islands,2021-04,93493.0,370896.0,417036,88936.20694616291,22.418448287438014
Andaman and Nicobar Islands,2021-05,109087.0,386613.0,417036,92704.94633556815,26.157693820197775
Andaman and Nicobar Islands,2021-06,133533.0,409890.0,417036,98286.47886513395,32.01953788162173
Andhra Pradesh,2021-01,133623.0,13137872.0,53903393,24372.996334386593,0.24789348603714056
Andhra Pradesh,2021-02,535955.0,13954131.0,53903393,25887.296185603755,0.9942880590095692
Andhra Pradesh,2021-03,2328018.0,15083179.0,53903393,27981.873052035888,4.318870984615013
Andhra Pradesh,2021-04,5112011.0,16390360.0,53903393,30406.91705622316,9.483653468715781
Andhra Pradesh,2021-05,7356423.0,19256304.0,53903393,35723.732641468414,13.647421044534248
Andhra Pradesh,2021-06,11586263.0,21993618.0,53903393,40801.91760841475,21.494496645136977
Arunachal Pradesh,2021-01,6525.0,392211.0,1570458,24974.306858254087,0.4154838906866659
Arunachal Pradesh,2021-02,25903.0,405804.0,1570458,25839.8505404156,1.6493914514109895
Arunachal Pradesh,2021-03,68791.0,413963.0,1570458,26359.380511927095,4.380314532448496
Arunachal Pradesh,2021-04,187103.0,453906.0,1570458,28902.778679850082,11.913913011363563
Arunachal Pradesh,2021-05,255678.0,585905.0,1570458,37307.90635598023,16.280473594327262
Arunachal Pradesh,2021-06,448592.0,765890.0,1570458,48768.57579126599,28.564406052247175
Assam,2021-01,30688.0,6465926.0,35607039,18159.122975656584,0.08618520624531571
Assam,2021-02,195376.0,6850204.0,35607039,19238.342171613876,0.5487004971123828
Assam,2021-03,946438.0,7231399.0,35607039,20308.902967191403,2.6580081539495604
Assam,2021-04,1946800.0,8604935.0,35607039,24166.38743816918,5.467458274191235
Assam,2021-05,3304493.0,11045702.0,35607039,31021.119166915283,9.280448733746157
Assam,2021-06,5387805.0,14848791.0,35607039,41701.841593736564,15.131291877429067
Bihar,2021-01,108889.0,21021650.0,124799926,16844.280821128054,0.08725085301733271
Bihar,2021-02,559321.0,22434044.0,124799926,17976.007453722366,0.44817414394941224
Bihar,2021-03,2326918.0,23701470.0,124799926,18991.57376102931,1.864518733769121
Bihar,2021-04,5881859.0,26433890.0,124799926,21181.014161819294,4.713030839457389
Bihar,2021-05,8516097.0,29910596.0,124799926,23966.83792905454,6.823799719240219
Bihar,2021-06,13127210.0,33206104.0,124799926,26607.47090507089,10.518603993403008
Chandigarh,2021-01,2217.0,216246.0,1158473,18666.4687049245,0.19137260859769714
Chandigarh,2021-02,16927.0,254433.0,1158473,21962.79067358497,1.4611475623514747
Chandigarh,2021-03,65748.0,311905.0,1158473,26923.804007516796,5.675402016274872
Chandigarh,2021-04,160071.0,404615.0,1158473,34926.58007566857,13.817413094651322
Chandigarh,2021-05,274606.0,508469.0,1158473,43891.312097908194,23.70413466692793
Chandigarh,2021-06,403380.0,567172.0,1158473,48958.586000709554,34.819974224690604
Chhattisgarh,2021-01,57455.0,4220304.0,29436231,14337.107220010606,0.19518463488073592
Chhattisgarh,2021-02,376718.0,4812273.0,29436231,16348.128943545795,1.2797766127056143
Chhattisgarh,2021-03,1662021.0,5757808.0,29436231,19560.275906246286,5.646174607068412
Chhattisgarh,2021-04,4853003.0,7206500.0,29436231,24481.7347710038,16.486495842487443
Chhattisgarh,2021-05,5134658.0,9125243.0,29436231,31000.0386938124,17.44332689874597
Chhattisgarh,2021-06,5739810.0,10350237.0,29436231,35161.55651856381,19.499133567745137
Delhi,2021-01,44840.0,10741426.0,18710922,57407.251230056965,0.2396461275398401
Delhi,2021-02,367699.0,12380699.0,18710922,66168.29999077544,1.9651570350194394
Delhi,2021-03,1034327.0,14575662.0,18710922,77899.21843509369,5.527931760925517
Delhi,2021-04,2581651.0,17151785.0,18710922,91667.23585294193,13.797561659441474
Delhi,2021-05,4194986.0,19302280.0,18710922,103160.49631332973,22.41998550365396
Delhi,2021-06,5318124.0,21483104.0,18710922,114815.84926707513,28.422565173431856
Goa,2021-01,3466.0,450676.0,1586250,28411.410559495664,0.21850275807722613
Goa,2021-02,19870.0,493367.0,1586250,31102.72655634358,1.2526398739164697
Goa,2021-03,102595.0,544652.0,1586250,34335.823483057524,6.467769897557131
Goa,2021-04,277125.0,652816.0,1586250,41154.67297084318,17.47044917257683
Goa,2021-05,433855.0,822937.0,1586250,51879.40110323089,27.35098502758077
Goa,2021-06,713714.0,922260.0,1586250,58140.89834515367,44.99379038613081
Gujarat,2021-01,251207.0,10813671.0,63872399,16930.115620050532,0.3932950757024173
Gujarat,2021-02,821783.0,11739846.0,63872399,18380.155096413397,1.286601118583318
Gujarat,2021-03,4961044.0,13497177.0,63872399,21131.470261513114,7.767117061001576
Gujarat,2021-04,9965407.0,18039956.0,63872399,28243.74265322334,15.602055278994609
Gujarat,2021-05,12965663.0,21759214.0,63872399,34066.69287621403,20.29932052497355
Gujarat,2021-06,18826982.0,23690300.0,63872399,37090.042601969595,29.4759274659466
Haryana,2021-01,95245.0,5172330.0,28204692,18338.54452301766,0.33769204074272463
Haryana,2021-02,218515.0,5669984.0,28204692,20102.981447200345,0.7747469818142315
Haryana,2021-03,1366981.0,6256186.0,28204692,22181.36613581882,4.846643955551793
Haryana,2021-04,3199035.0,7394450.0,28204692,26217.091822878265,11.342208594229641
Haryana,2021-05,4893257.0,9050306.0,28204692,32087.94480010631,17.349088584268177
Haryana,2021-06,6928225.0,10039167.0,28204692,35593.96074950934,24.564086712948328
Himachal Pradesh,2021-01,22798.0,931400.0,7451955,12498.733553812388,0.3059331410348023
Himachal Pradesh,2021-02,100927.0,1094709.0,7451955,14690.225585098138,1.3543694238625972
Himachal Pradesh,2021-03,448077.0,1260512.0,7451955,16915.185343980203,6.012878499668879
Himachal Pradesh,2021-04,1541255.0,1509568.0,7451955,20257.34186532259,20.682559140520844
Himachal Pradesh,2021-05,2022636.0,1922211.0,7451955,25794.720982614628,27.142353919206435
Himachal Pradesh,2021-06,2773268.0,2438154.0,7451955,32718.313516385966,37.21530792926151
Jammu and Kashmir,2021-01,21268.0,4544387.0,13606320,33399.08954074283,0.15630971489719483
Jammu and Kashmir,2021-02,222388.0,5201665.0,13606320,38229.77116516442,1.634446345521787
Jammu and Kashmir,2021-03,642348.0,6051587.0,13606320,44476.29483945696,4.720953204099271
Jammu and Kashmir,2021-04,1974919.0,7268521.0,13606320,53420.1826798135,14.514718160384291
Jammu and Kashmir,2021-05,2754861.0,8567159.0,13606320,62964.556176835475,20.24692201859136
Jammu and Kashmir,2021-06,3546680.0,9960678.0,13606320,73206.26003210273,26.06641619482711
Jharkhand,2021-01,31672.0,5217119.0,38593948,13517.971781482423,0.0820646801928634
Jharkhand,2021-02,289681.0,5528514.0,38593948,14324.821083347058,0.7505865945614064
Jharkhand,2021-03,1415140.0,5881206.0,38593948,15238.674208712724,3.666740702454178
Jharkhand,2021-04,2635993.0,6921267.0,38593948,17933.555281776302,6.830068279099096
Jharkhand,2021-05,3484293.0,8490974.0,38593948,22000.79141942151,9.028081293989409
Jharkhand,2021-06,5275892.0,9983671.0,38593948,25868.488499803127,13.670257315991616
Karnataka,2021-01,247613.0,17033930.0,67562686,25212.037899144507,0.3664937181449536
Karnataka,2021-02,611335.0,18796775.0,67562686,27821.237006474254,0.9048411722411392
Karnataka,2021-03,3489527.0,21411226.0,67562686,31690.904059083736,5.164873107620381
Karnataka,2021-04,8090917.0,25596991.0,67562686,37886.28385792714,11.975422350733659
Karnataka,2021-05,10929687.0,29736960.0,67562686,44013.880679640235,16.177105510577245
Karnataka,2021-06,17493598.0,34269727.0,67562686,50722.86054465034,25.89239569309012
Kerala,2021-01,140906.0,9625913.0,35699443,26963.76243181161,0.3947008360886751
Kerala,2021-02,489113.0,11476284.0,35699443,32146.955346054,1.3700858021790423
Kerala,2021-03,3167015.0,13158864.0,35699443,36860.1381259646,8.87132888880087
Kerala,2021-04,6051350.0,15799524.0,35699443,44257.06025721466,16.950824694939918
Kerala,2021-05,7345141.0,19795928.0,35699443,55451.64388139053,20.57494566511864
Kerala,2021-06,10258975.0,23073669.0,35699443,64633.13447215409,28.737073012595744
Ladakh,2021-01,959.0,110068.0,289023,38082.782339121804,0.3318075032090872
Ladakh,2021-04,74571.0,200311.0,289023,69306.24898364491,25.80106081522924
Ladakh,2021-05,122206.0,262237.0,289023,90732.22546302543,42.282448109666014
Ladakh,2021-06,167571.0,355634.0,289023,123046.95474062617,57.97843078232528
Lakshadweep,2021-01,807.0,2328.0,73183,3181.0666411598318,1.1027151114329832
Lakshadweep,2021-02,1824.0,31207.0,73183,42642.41695475725,2.4923821105994564
Lakshadweep,2021-03,5034.0,48477.0,73183,66240.7936269352,6.878646680239947
Lakshadweep,2021-04,18888.0,75713.0,73183,103457.08702840823,25.809272645286473
Lakshadweep,2021-05,26687.0,134616.0,73183,183944.35866253093,36.46611918068404
Lakshadweep,2021-06,45834.0,181741.0,73183,248337.7287074867,62.62929915417516
Madhya Pradesh,2021-01,285481.0,5361905.0,85358965,6281.595612130489,0.3344475884870441
Madhya Pradesh,2021-02,644716.0,5786018.0,85358965,6778.453792170512,0.7552996923053132
Madhya Pradesh,2021-03,2890848.0,6389064.0,85358965,7484.936116552022,3.386695234648171
Madhya Pradesh,2021-04,7023042.0,7747712.0,85358965,9076.623644628306,8.227655993720168
Madhya Pradesh,2021-05,9378050.0,9896447.0,85358965,11593.916350789868,10.986602286004757
Madhya Pradesh,2021-06,16512594.0,12075742.0,85358965,14147.010803141768,19.34488544934911
Maharashtra,2021-01,234150.0,14617168.0,123144223,11869.95836580982,0.19014290260290975
Maharashtra,2021-02,1028520.0,16284612.0,123144223,13224.016200906153,0.8352157940856064
Maharashtra,2021-03,5618555.0,19792143.0,123144223,16072.327647883247,4.562581063993558
Maharashtra,2021-04,13561437.0,27106282.0,123144223,22011.81780163573,11.012645717046752
Maharashtra,2021-05,18016877.0,35055054.0,123144223,28466.665464282476,14.630712315266303
Maharashtra,2021-06,24046509.0,41637950.0,123144223,33812.34538302296,19.527110906371952
Manipur,2021-01,2947.0,515122.0,3091545,16662.283744858963,0.09532450603177375
Manipur,2021-02,48312.0,549740.0,3091545,17782.04748758307,1.5627137887366995
Manipur,2021-03,81536.0,576140.0,3091545,18635.989448641372,2.637386808214016
Manipur,2021-04,188954.0,614444.0,3091545,19874.981603049608,6.111960201129209
Manipur,2021-05,387493.0,717426.0,3091545,23206.066869477883,12.53395955743811
Manipur,2021-06,515401.0,901999.0,3091545,29176.31798987238,16.6713083587656
Meghalaya,2021-01,3076.0,334713.0,3366710,9941.84233272245,0.09136516064644712
Meghalaya,2021-02,40214.0,369262.0,3366710,10968.037045067736,1.1944598732887597
Meghalaya,2021-03,80790.0,402571.0,3366710,11957.400548309774,2.399672083428629
Meghalaya,2021-04,230464.0,461570.0,3366710,13709.823536924772,6.845377237718722
Meghalaya,2021-05,391350.0,575001.0,3366710,17079.017794820462,11.624107808513356
Meghalaya,2021-06,565784.0,698098.0,3366710,20735.31726819358,16.805249041348972
Mizoram,2021-01,7977.0,207303.0,1239244,16728.182666206172,0.643698900297278
Mizoram,2021-02,21926.0,232060.0,1239244,18725.932907482304,1.7693045114602128
Mizoram,2021-03,55525.0,252400.0,1239244,20367.256165855957,4.480554273411854
Mizoram,2021-04,211334.0,303922.0,1239244,24524.7909209163,17.05346162660461
Mizoram,2021-05,264128.0,389751.0,1239244,31450.707043971972,21.31363960608242
Mizoram,2021-06,465500.0,478440.0,1239244,38607.4090332493,37.5632240301345
Nagaland,2021-01,3530.0,124945.0,2249695,5553.863968226804,0.1569101589326553
Nagaland,2021-02,27408.0,130265.0,2249695,5790.340468374602,1.2182984804606847
Nagaland,2021-03,58021.0,136361.0,2249695,6061.310533205613,2.5790607171194315
Nagaland,2021-04,158602.0,146937.0,2249695,6531.418703424242,7.049933435421246
Nagaland,2021-05,216978.0,192253.0,2249695,8545.736199795972,9.644774069373849
Nagaland,2021-06,386200.0,226675.0,2249695,10075.810276504148,17.166771495691638
Odisha,2021-01,158567.0,7709606.0,46356334,16631.18140446568,0.34206113020067547
Odisha,2021-02,440537.0,8321641.0,46356334,17951.46484189194,0.9503275215852919
Odisha,2021-03,1931226.0,9043972.0,46356334,19509.679087220313,4.16604557211103
Odisha,2021-04,4928197.0,10086656.0,46356334,21758.959627825618,10.631118931881025
Odisha,2021-05,6380707.0,11773072.0,46356334,25396.90045377618,13.764477147826229
Odisha,2021-06,9126091.0,13759870.0,46356334,29682.82608370196,19.686826400034136
Puducherry,2021-01,2077.0,578693.0,1413542,40939.21510644891,0.14693585333863446
Puducherry,2021-02,10049.0,630827.0,1413542,44627.396992802474,0.7109091912373314
Puducherry,2021-03,67621.0,673821.0,1413542,47668.976231339424,4.783798429760135
Puducherry,2021-04,169488.0,803173.0,1413542,56819.88932766059,11.990305204939082
Puducherry,2021-05,218077.0,1058568.0,1413542,74887.62272362618,15.427698646379095
Puducherry,2021-06,401988.0,1316296.0,1413542,93120.40250661105,28.438348489114578
Punjab,2021-01,45738.0,4482617.0,30141373,14871.973483092494,0.1517449122175025
Punjab,2021-02,149199.0,4999390.0,30141373,16586.470695943415,0.4949973579504823
Punjab,2021-03,836310.0,5932096.0,30141373,19680.908364725125,2.7746247657663106
Punjab,2021-04,2968888.0,7221431.0,30141373,23958.53367396369,9.849876447234172
Punjab,2021-05,3868801.0,9256146.0,30141373,30709.105388132117,12.835516816038872
Punjab,2021-06,4929959.0,10896152.0,30141373,36150.15148779056,16.356119543724834
Rajasthan,2021-01,309565.0,5851737.0,81032689,7221.452320309894,0.3820248393830297
Rajasthan,2021-02,789480.0,6304465.0,81032689,7780.150304527103,0.9742734811626453
Rajasthan,2021-03,4866824.0,6908881.0,81032689,8526.041879222346,6.006000862195256
Rajasthan,2021-04,10797155.0,8664982.0,81032689,10693.193212433072,13.324443669887346
Rajasthan,2021-05,13900165.0,10591428.0,81032689,13070.56217769103,17.15377481796266
Rajasthan,2021-06,19090259.0,11868693.0,81032689,14646.796430512135,23.558713447112684
Sikkim,2021-01,1709.0,74692.0,690251,10820.991204648742,0.2475910936746198
Sikkim,2021-02,17647.0,78771.0,690251,11411.93565818811,2.5566062200561825
Sikkim,2021-03,61697.0,83021.0,690251,12027.653708578473,8.938342718808086
Sikkim,2021-04,161083.0,93658.0,690251,13568.687332579018,23.33687310847793
Sikkim,2021-05,179322.0,119475.0,690251,17308.92095773856,25.979245231082604
Sikkim,2021-06,349190.0,163725.0,690251,23719.63242356766,50.58884376842627
Tamil Nadu,2021-01,77809.0,16019962.0,77841267,20580.294511393295,0.09995854769424553
Tamil Nadu,2021-02,284640.0,17479572.0,77841267,22455.405305774377,0.3656672237876087
Tamil Nadu,2021-03,2650411.0,19595368.0,77841267,25173.49569862474,3.4048919064999286
Tamil Nadu,2021-04,4635084.0,22662407.0,77841267,29113.615275558142,5.954533088470926
Tamil Nadu,2021-05,7063107.0,27675115.0,77841267,35553.26893638563,9.073730775733647
Tamil Nadu,2021-06,11658908.0,32838250.0,77841267,42186.17099333699,14.977798344418005
Telangana,2021-01,95057.0,7861361.0,38510982,20413.296653925885,0.2468308909910425
Telangana,2021-02,291425.0,8700651.0,38510982,22592.649026711395,0.75673219654591
Telangana,2021-03,1030664.0,10151609.0,38510982,26360.29639545416,2.676285948771704
Telangana,2021-04,4151762.0,12905854.0,38510982,33512.13947231987,10.780722236581761
Telangana,2021-05,4802730.0,15176159.0,38510982,39407.35398541642,12.471066045524365
Telangana,2021-06,8430040.0,18671907.0,38510982,48484.62965706769,21.889963751119097
Tripura,2021-01,21367.0,606978.0,4169794,14556.546438505116,0.5124233954962764
Tripura,2021-02,88089.0,620416.0,4169794,14878.816555446145,2.112550404168647
Tripura,2021-03,597956.0,639614.0,4169794,15339.22299279053,14.340180833873328
Tripura,2021-04,898611.0,705279.0,4169794,16914.001027388884,21.55048906492743
Tripura,2021-05,1103113.0,947800.0,4169794,22730.139666372008,26.45485604324818
Tripura,2021-06,1834177.0,1280493.0,4169794,30708.78321566965,43.98723294244272
Uttar Pradesh,2021-01,434185.0,27888620.0,237882725,11723.684433159238,0.18252060968277542
Uttar Pradesh,2021-02,1281078.0,31287226.0,237882725,13152.374137298117,0.538533430706244
Uttar Pradesh,2021-03,4726820.0,34798213.0,237882725,14628.306027686542,1.987037940649116
Uttar Pradesh,2021-04,10240750.0,40798042.0,237882725,17150.4853914886,4.304957411262209
Uttar Pradesh,2021-05,14854570.0,49409401.0,237882725,20770.48722222263,6.244492953408029
Uttar Pradesh,2021-06,24782239.0,57844027.0,237882725,24316.1948813223,10.417838874176342
Uttarakhand,2021-01,26517.0,2134552.0,11250858,18972.348597769163,0.23568869147579677
Uttarakhand,2021-02,148100.0,2406703.0,11250858,21391.28411362049,1.3163440512714675
Uttarakhand,2021-03,600464.0,2739909.0,11250858,24352.88935297201,5.337050738708106
Uttarakhand,2021-04,1665065.0,3782632.0,11250858,33620.831406813595,14.799449073128468
Uttarakhand,2021-05,2235181.0,4794885.0,11250858,42617.94967103843,19.866760383963605
Uttarakhand,2021-06,3274993.0,5533958.0,11250858,49186.98645027784,29.108828855541507
West Bengal,2021-01,214256.0,7995854.0,99609303,8027.216092456746,0.21509637508456414
West Bengal,2021-02,953882.0,8563278.0,99609303,8596.865696369747,0.9576234059182204
West Bengal,2021-03,4798424.0,9172599.0,99609303,9208.57663264645,4.817244831037518
West Bengal,2021-04,8662227.0,10432553.0,99609303,10473.47254302141,8.696202803467061
West Bengal,2021-05,10838457.0,12430977.0,99609303,12479.734950057828,10.880968617961315
West Bengal,2021-06,15798841.0,14218192.0,99609303,14273.95993324037,15.860808703781412
