State,HDI
Goa,0.76
Kerala,0.758
Chandigarh,0.751
Puducherry,0.741
Delhi,0.734
Jammu and Kashmir,0.72
Lakshadweep,0.719
Himachal Pradesh,0.715
Sikkim,0.712
Mizoram,0.709
Andaman and Nicobar Islands,0.706
Punjab,0.698
Haryana,0.696
Maharashtra,0.695
Tamil Nadu,0.692
Arunachal Pradesh,0.683
Manipur,0.683
Uttarakhand,0.681
Nagaland,0.679
Daman and Diu,0.674
Karnataka,0.673
Telangana,0.66
Rajasthan,0.652
Meghalaya,0.65
Gujarat,0.646
Andhra Pradesh,0.642
West Bengal,0.635
Chhatisgarh,0.625
Dadra and Nagar Haveli,0.624
Tripura,0.624
Assam,0.615
Madhya Pradesh,0.611
Odisha,0.61
Uttar Pradesh,0.609
Jharkhand,0.6
Bihar,0.577
